,user,created,description,location
0,Wendolyn_BTS,2020-03-20 01:32:58,🏳️‍🌈Fan account | Check out our patches @OriPatches |,
1,BTS_SUGA_04h,2020-03-20 01:32:58,"7명 전부 다 사랑해요 💜

사랑해 고마워",
2,taEhYunG95_aMii,2020-03-20 01:32:58,BTS💜ARMY💕 I PurPle Y0u!!,ARMY 
3,JohanaDuranQui1,2020-03-20 01:32:58,"vivo solo por mis gatos y bangtan🤍
@OfficialMonstaX @Stray_Kids @TXT_members @GOT7Official @MMLD_Official @OFFICIALBTOB @BTS_twt @MarioBautista_",México– OnlyArmy💜
4,pieceofpeace167,2020-03-20 01:32:58,"if you’re missing bts, wlecome let’s be sad together. if you’re @BTS_twt by chance please know I love you & miss you & we’re here for you always.","with them, at heart "
5,iruichi_88,2020-03-20 01:32:57,fan acc @BTS_twt,
6,bangtanniccrew,2020-03-20 01:32:57,Cuenta secundaria de @Nicaragua_RM @JinNicaragua @YoongiNicaragua @JhopeNicaragua @JiminNicaragua @Nicaragua_V @JK_Nicaragua parte de @BangtanNic ¡SÍGUENOS! 💜,Nicaragua
7,aremine__,2020-03-20 01:32:57,,
8,BTS_NOCHU_KKEOm,2020-03-20 01:32:57,"헤더출처: MAY 님💜💜
메이크업 전공으로 배우고 있습니다💄💇 @BTS_twt",대한민국 마포구
9,d3eihoney,2020-03-20 01:32:57,✨,
10,clouds95z,2020-03-20 01:32:57,|| Fan account ᶠᵒʳ @BTS_twt || ✿ ᵀᴴᴱ ᴹᴼˢᵀ ᴮᴱᴬᵁᵀᴵᶠᵁᴸ ᴹᴼᴹᴱᴺᵀ ᴵᴺ ᴸᴵᶠᴱ ✿ OT7 ♡ #VMin,Việt Nam
11,tataedaaww,2020-03-20 01:32:57,twitter jangan suspen ini akun nanti km dimarahi taehyung🙂,serang banten
12,jeondrogo,2020-03-20 01:32:57,ㅤ전 ⋅ 𝗃𝖾𝗈𝗇 ٫ 𝟗𝟕' ─ 𝑐𝑜𝑠𝑚𝑖𝑐 𝑏𝑜𝑦. . 🕊♡,       
13,Jkinmalta,2020-03-20 01:32:57,Oficial acc: @yoongidolce,bangalaxy
14,Rosievantae,2020-03-20 01:32:57,TAEHYUNG IS A HUMAN ANGEL 👼,Republic of the Philippines
15,PurpleBomb2,2020-03-20 01:32:57,Check out this account @BTS_twt trust me you’ll experience something better than experiencing Disneyland ☆〜（ゝ。∂）,
16,xxjjk_pjmxx,2020-03-20 01:32:57,지국+남진+솝+뷔 | I write jikook AUs✌️,
17,jk_kneecaps,2020-03-20 01:32:57,"#JIN: sit down 5s, a 10 is speaking",in mArs with @bts4love 
18,allyluvsbts,2020-03-20 01:32:57,BTS: ❤️MADE OF 7 KINGS ❤️ ARMY 💕Jungkook & Suga but OT7 FOR LIFE!!!💕 “Let’s spread our wings and fly to our spring day” - RM 🌸9/09/18 Unforgettable Night🌸,@ Bangtan Universe 
19,proudarmy2001,2020-03-20 01:32:57,stream persona,
20,seokjinniebts_,2020-03-20 01:32:57,#ARMY,
21,DIDIPIED,2020-03-20 01:32:57,"𝒲𝒽𝑒𝓃 𝓎𝑜𝓊 𝓈𝒶𝓎 𝓉𝒽𝒶𝓉 𝓎𝑜𝓊 𝓁𝑜𝓋𝑒 𝓂𝑒
난 하늘 위를 걷네
영원을 말해줘 𝒿𝓊𝓈𝓉 𝑜𝓃𝑒 𝓂𝑜𝓇𝑒 𝓉𝒾𝓂𝑒☀️",
22,JeonSunggjin,2020-03-20 01:32:57,"-g i r l   i n   l u v   ( ◜‿◝ )♡



-M e x i c a n.   a r m y (´∩｡• ᵕ •｡∩`) 



-o l d.   a r m y 💜",Mexico
23,cactosuga,2020-03-20 01:32:57,,
24,AgustD_5,2020-03-20 01:32:57,"ᴇsᴛᴏᴜ ᴘᴀᴠɪᴍᴇɴᴛᴀɴᴅᴏ ᴍᴇᴜ ᴘʀóᴘʀɪᴏ ᴄᴀᴍɪɴʜᴏ ᴅᴇ ғʟᴏʀᴇs 🌻 ʜʏᴜɴᴀ - ғʟᴏᴡᴇʀ sʜᴏᴡᴇʀ

Iai genteeee, vcs podem me enviar perguntas no tell?
https://t.co/6nnC19xO0b",te interessa?
25,Briggette_7,2020-03-20 01:32:57,🐯🐱💜⭐️19•5•5💜BTS #taehyung #suga #Rm #Jin #jungkook #jhope #jimin,IM SEEING BTS ⭐️
26,gabbypopy1,2020-03-20 01:32:57,Love Peace Love Mother Earth 💜,"Puerto Princesa City, Palawan"
27,miabellad82,2020-03-20 01:32:57,I'm Filipino and love BTS💜,"South Carolina, USA"
28,Ietterskth,2020-03-20 01:32:57,"#MinYoongi: love yourself, love myself, peace.",25052019
29,iam_mintminn,2020-03-20 01:32:56,#BTS #NCT #WAYV #TOMORROW_X_TOGETHER #ปรมาจารย์ลัทธิมาร 💜💚💙❤️🖤🧡💛,Thailand
30,hhmxdn,2020-03-20 01:32:56,- 🌻 -,@thesettinggs 🤍
31,ngapham08041995,2020-03-20 01:32:56,,
32,eomctaetae,2020-03-20 01:32:56,"Fan account
Only Army 
OT7 💜
Jungkook utted :3",
33,vminsari,2020-03-20 01:32:56,𝒜𝒢𝐵 | 𝒫𝒥𝑀 | Fan Account,SWT 6/22/19 | BLM | 🇩🇴 
34,TinyRophos,2020-03-20 01:32:56,c'est la vie,Philippines
35,SusanaCanales01,2020-03-20 01:32:56,Fan Account,
36,Hobis_Spritez,2020-03-20 01:32:56,"🌸☀🌈🐿🅱🆃🆂 🅻🅾🅲🅺🅳🅾🆆🅽🌟🔆🍀🦋


{ϝαɳ αƈƈσυɳƚ}",
37,tellme_bts,2020-03-20 01:32:56,I Stan the tumbling-puppy cyclone that is BTS. 💜 Je t'aime plus qu'hier mais moins que demain. 💜 layout/profile pic belong to @_debrenner,"Washington, USA"
38,Stefy_Rock92,2020-03-20 01:32:56,"✰ƓÐŁ🌈ᏟØŁ✰ мχ
🥴 
♛  
        
Λ+R+M+Y 

💜











 frapuccino🥤  chocolate🍫=D Cats🐈💕I like take photos📸 fan account",in Jimin's heart ❥
39,hamburgerjk,2020-03-20 01:32:56,"only @bts_twt / fan account / 선뎀💗 / 인장,헤더 : 보리언니 / 뎀 SLOW / 191027 200412",한루비정꾸겨누아민써욘닥금발신자아미이루윤님시온엠진시나브로
40,jk_m4r1997,2020-03-20 01:32:56,"ˑ☆°•ˑᴶᵘˢᵗ ᵉᶰʲᵒʸ ᵉᵛᵉʳʸ ᵐᵒᵐᵉᶰᵗˑ•°☆ˑ

Jikook & Taekook 🐥🐰🐯

▪Paraguay 🇵🇾 @vkookmin_27","Central, Paraguay"
41,iruichi_88,2020-03-20 01:32:56,fan acc @BTS_twt,
42,Zehn_p265,2020-03-20 01:32:56,"💜💙💛💜 รีบ่อยมาก หวีดได้ทุกโพ ไอคุกๆ 😍😙😍😙น้องหนิงหนิงกับเจ้าซุบ
แซะด้วยรัก https://t.co/9KbyEQ2fMg จะไม่บิน",모아미
43,CarrillosClara,2020-03-20 01:32:56,"👑💜BTS~ARMY💜👑
♡Taehyung♡Jimin♡Hoseok♡
♡Jungkook♡Namjoon♡Yoongi♡Jin♡",
44,babytruva,2020-03-20 01:32:56,"Wandering in the dark. Sometimes I can sleep. Naruto. My bloodline is cursed to fight unseen demons. UGH. 𝔓𝔩𝔢𝔞𝔰𝔢, 𝔡𝔬𝔫'𝔱 𝔩𝔢𝔱 𝔪𝔢 𝔰𝔥𝔦𝔫𝔢.",Howl's Moving Castle
45,less51279386,2020-03-20 01:32:56,"Seokjin bias! BTS fan account! 🐹 OT7! Stream epiphany and moon, 이 밤!",
46,kh0p3_,2020-03-20 01:32:56,a girl who really love herself,Brunei Darussalam
47,dolcevantae_,2020-03-20 01:32:55,"#BTS; Follow your dream like bReaKer • No pain, No gain • Only Army • OT7 #YOONGI: I don’t want to live in this unfair society (𝒜𝓁𝒸𝑜𝒽𝑜𝓁)",oʎʞo⊥ uı ɟɔɓ
48,Ciananaaa,2020-03-20 01:32:55,🇺🇸 ARMY - Love and Support OT7 💜Jimin-biased 🐥 with Kim Namjoon and Min Yoongi constantly bias-wrecking me | Current obsessions: My Time and UGH!,🎧 MOTS Persona & 7
49,Min_Park1995,2020-03-20 01:32:55,https://t.co/b7uVGtaqcw,"Busan, Hàn Quốc"
50,uwuvmined,2020-03-20 01:32:55,10/06/18 we purple you 💜 05/19/19 💜,"Gainesville, VA"
51,idabeibeh10,2020-03-20 01:32:55,"fan account: @BTS_twt 

ARMY💝BTS 💞 ARMY🌞","Yogyakarta, Indonesia"
52,jf_zj7,2020-03-20 01:32:55,,
53,Marin88227867,2020-03-20 01:32:55,ばんたんの偉大さを再確認した。やっぱ凄いわ♡♡♡                                                             BLACKPINK in your area World tour2019_2020福岡公演参戦済み #armyと繋がりたい #Blinkと繋がりたい,BLACKPINK in your erea
54,bts_on_7,2020-03-20 01:32:55,a fan account.,Map of the Soul : 7
55,millyawa,2020-03-20 01:32:55,"良い夢を
 ⛈️the rain falls on my face on cold night,and where are you?                                
{fan accont} ❁̤۪۪۫֗⸱❀፝⃟ ꙰꙰⃟⃟꙰  ː֗⸱🌓  ────Only army/ot7✨",🐨🐹🐱🐿🐥🐯🐰
56,1997_JEONJK,2020-03-20 01:32:55,,
57,Ann_Tae81,2020-03-20 01:32:55,w-inds. : Arashi : Hey Say Jump : KAT-TUN กำลังบ้าด๋อยกับฟิกเกอร์,Thailand
58,bbellmnsnx,2020-03-20 01:32:55,[•나는 너를 사랑해.•] - all I need is bts & kookmin,
59,minie_zee,2020-03-20 01:32:55,Miztirious,Cotabato City Philippines
60,JMwings_,2020-03-20 01:32:55,"∞ 𝐨𝐮𝐫 𝐮𝐧𝐢𝐯𝐞𝐫𝐬𝐞 𝐰𝐢𝐥𝐥 𝐥𝐚𝐬𝐭 𝐟𝐨𝐫𝐞𝐯𝐞𝐫 - 𝐊𝐢𝐦 𝐍𝐚𝐦𝐣𝐨𝐨𝐧 ∞

      • Fan account • 💈@galaxytaeh 💈",jjk + pjm 🐰🐥
61,Tiffany48184,2020-03-20 01:32:55,"Once a Belieber, then a Directioner and now I'm officially an BTS ARMY!!! (but still REBELLIOUS)💜💜💜💜💜💜💜☺️😘😀😁😉😄","Wayne, MI"
62,Meetta4bts,2020-03-20 01:32:55,"BTS ARMY OT7. FEB 21, i'm 'ON' it!",
63,SeokjinnieKult,2020-03-20 01:32:55,#𝐘𝐞𝐨𝐧𝐣𝐮𝐧: 𝚂𝚘𝚘𝚋𝚒𝚗 𝚂𝚘𝚘𝚋𝚒𝚗 𝚢𝚘𝚞 𝚔𝚗𝚘𝚠? 𝚈𝚘𝚞 𝚔𝚗𝚘𝚠 𝚂𝚘𝚘𝚋𝚒𝚗?,𝓗𝓸𝓹𝓮 𝓦𝓸𝓻𝓵𝓭
64,meghanbutler35,2020-03-20 01:32:55,"I’m not ugly, I’m just born in a judgmental society😒","Boston, MA"
65,ryujintear,2020-03-20 01:32:55,"... to the angels of my life, ﹫ 𝗼𝗵 𝘀𝗲𝗵𝘂𝗻 & ﹫ 𝗸𝗶𝗺 𝗺𝗶𝗻𝘀𝗲𝗼𝗸 i love you very much! ★",🏡: ana & kim | blackbear ♡
66,_yoongimeowmeow,2020-03-20 01:32:55,.˚🍒 #SUGA: you're my sweet angel ; thanks for existing. ˎˊ ━─❀. only army ♡ | fan account.,Namjoon + Seokjin = NAMJIN ♡
67,almostdreamin,2020-03-20 01:32:55,♡; @BTS_twt 『@jkkmydream my little angel🍒』,taekook         
68,cook56415,2020-03-20 01:32:55,,
69,LSQkpoplover,2020-03-20 01:32:55,,
70,SrHaleKookie,2020-03-20 01:32:55,"OT7
Dancer, Singer, Army and Blink
  Saranghae 한국 💜
  💜💜
ɱεƭα∂เɳɦα ૮σɱ @rekkosmo ✨✨",
71,TNLJK_,2020-03-20 01:32:55,란 TNL(ARMY),"Đồng Nai, Việt Nam"
72,0nly_bangtan,2020-03-20 01:32:55,✨𝒀𝒐𝒖 𝒂𝒓𝒆 𝒕𝒉𝒆 𝒄𝒂𝒖𝒔𝒆 𝒐𝒇 𝒎𝒚 𝒆𝒖𝒑𝒉𝒐𝒓𝒊𝒂 ✨ ARMYᴼᵗ⁷ ℑ'𝔪 𝔣𝔦𝔫𝔢 🐈 @BTS_twt 🎶,con mis gatos 
73,Briggette_7,2020-03-20 01:32:54,🐯🐱💜⭐️19•5•5💜BTS #taehyung #suga #Rm #Jin #jungkook #jhope #jimin,IM SEEING BTS ⭐️
74,TATA_BTS_V30,2020-03-20 01:32:54,I like Taehyung. 🧸　𝟟 BTS is the best in the world 💜　▸▸ 𝟡𝟞𝕃𝕚𝕟𝕖 ✩.* 𝔸ℝ𝕄𝕐 ☁.*.｡ 𝕂𝕚𝕞 𝕥𝕒𝕖𝕙𝕪𝕦𝕟𝕘 🐯 ✘ 🐰°+.*,
75,BTS_aRMy_04ever,2020-03-20 01:32:54,"툽&RT 🐰
BTS x aRMy
🐌현생사느라 느리게 천천히갑니다🍇🍇🍇🍇🍇🍇🍇",
76,Sakura96_swag,2020-03-20 01:32:54,"🍀방탄소년단🍀 @BTS_twt is coming! 💜A proud Adorable Representative MC for Youth💜 아포방포 💜I believe in our galaxy💜 Love all 7 of them |
Fan account ☘",Bangtan Galaxy
77,ZahraIdya,2020-03-20 01:32:54,,United States
78,taEhYunG95_aMii,2020-03-20 01:32:54,BTS💜ARMY💕 I PurPle Y0u!!,ARMY 
79,Azul69517847,2020-03-20 01:32:54,OT7,
80,JPSarang,2020-03-20 01:32:54,"🅱🆃🆂  🅿🅰🆅🅴🅳  🆃🅷🅴  🆆🅰🆈
🐨🐹🐱🐿🐥🐯🐰 
🅽.🅵🅻🆈🅸🅽🅶 𝓲𝓼 𝓶𝔂 𝓷𝓮𝔀 𝓫𝓪𝓫𝓲𝓮𝓼.",bangtan universe 
81,Samuel_Sravia7,2020-03-20 01:32:54,@MicaViciconte 💚 & @BTS_twt 💜 @katyperry ❤️ || Fan Account,"San Salvador, El Salvador 🇸🇻"
82,NhixBTS,2020-03-20 01:32:54,you are the cause of my euphoria❤️OT7 stan💜,
83,baris_carol,2020-03-20 01:32:54,,
84,disneyprincekoo,2020-03-20 01:32:54,BTS 👑 l BlackPink 💖 l Twice 🍭 l Red Velvet 🌹 l (G)-idle 🔮 l Everglow ✨l Chungha 💎 l Talk shit about BTS get blocked/unfollowed l Art&personal: @c_art_y,Portugal 🇵🇹
85,NPondusan,2020-03-20 01:32:54,"ig:@nhp52206
//loves to eat//addicted to BTS//",
86,ae180a,2020-03-20 01:32:54,ONLY ✨ BTS💜ARMY ✨ / 방탄위해 하는 트윗 / 🚨RT 밤낮 없이 심각하게 많음!! 🚨 / 악개❌ 사생❌ / Fan account for BTS / 헤더- 빵짚님,
87,god_of_macro,2020-03-20 01:32:54,최고급 티켓팅 매크로 판매합니다. 다른분께 만원에 바가지 쓰고 사지마세요 제발🙌🏻 후기는 마음방에 있습니다 :) 다른분들의 가짜 후기에 속지마세요❌❌,
88,Tejakshi1,2020-03-20 01:32:54,🤡,
89,DIDIPIED,2020-03-20 01:32:54,"𝒲𝒽𝑒𝓃 𝓎𝑜𝓊 𝓈𝒶𝓎 𝓉𝒽𝒶𝓉 𝓎𝑜𝓊 𝓁𝑜𝓋𝑒 𝓂𝑒
난 하늘 위를 걷네
영원을 말해줘 𝒿𝓊𝓈𝓉 𝑜𝓃𝑒 𝓂𝑜𝓇𝑒 𝓉𝒾𝓂𝑒☀️",
90,agustchimmy_,2020-03-20 01:32:54,I hope everything's going to be fine,BTS
91,snowonthesea,2020-03-20 01:32:54,"문대통령님💖💜김태형(방탄소년단뷔)💞💜
대부분 rt예요",
92,Mf09154369,2020-03-20 01:32:54,@MF_Orchid 사담구독앓이주접,우리윤기 고양이에요 
93,taesippingteaig,2020-03-20 01:32:54,┊☽ 𝘶 𝘧𝘦𝘦𝘭 𝘭𝘪𝘬𝘦 𝘩𝘰𝘮𝘦 ❥ @BTS_twt┊fanaccount { @ssnowgguk♡ @vkookmayisus♡ @M0chuu_duh♡ @Vkook_Bangtan13♡ @SJennx♡ @Cypher4OT7♡ @yoonfresita♡ },Familia PoliANOrosa ♡ ot7
94,_babiejungoo,2020-03-20 01:32:54,"𝘸𝘦 𝘢𝘳𝘦 𝘰𝘯𝘭𝘺 𝘴𝘦𝘷𝘦𝘯 𝘸𝘪𝘵𝘩 𝘺𝘰𝘶, 𝘸𝘦 𝘢𝘳𝘦 𝘵𝘰𝘨𝘦𝘵𝘩𝘦𝘳 𝘣𝘶𝘭𝘭𝘦𝘵𝘱𝘳𝘰𝘰𝘧.",
95,DipBngBng6,2020-03-20 01:32:54,~𝖙𝖍𝖊 𝖘𝖍𝖆𝖉𝖔𝖜 𝖑𝖎𝖐𝖊 𝖒𝖊~•ᴗ•,
96,hauljm,2020-03-20 01:32:54,"💜BTS fan account /🐾아포방포🐾/ 
💜방탄마음속에 아미꽃이 피었습니다~~~💜💜  /
💜 👉 헤더 lattemin @jitoljitol  🐣🐥🐤~~~ 💜  /

💜 👉 인장 롸블리님 @antandjimin 💜",대한민국 서울
97,d3eihoney,2020-03-20 01:32:54,✨,
98,FigNewton2000,2020-03-20 01:32:54,"IT consultant, foodie, hockey enthusiast, 아미 --
pfp and header cr. @yourhobi
my backup acct is @FigNewton2K_BU","Houston, TX"
99,twitTAEruser,2020-03-20 01:32:54,"Generation why
Fraksando desde el 2002","Alicante, Idris"
100,ndhanif,2020-03-20 01:32:53,,Indonesia
101,tellme_bts,2020-03-20 01:32:53,I Stan the tumbling-puppy cyclone that is BTS. 💜 Je t'aime plus qu'hier mais moins que demain. 💜 layout/profile pic belong to @_debrenner,"Washington, USA"
102,bgirlelle,2020-03-20 01:32:53,"BTS Army only. 7 is one, one is 7.😊💜💜💜💜",
103,mochibasic,2020-03-20 01:32:53,⇸ 𝓈𝒽𝒾𝓃ℯ 𝒹𝓇ℯ𝒶𝓂 𝓈𝓂𝒾𝓁ℯ *⋆,ot7 ᴛᴀɴɴɪᴇs
104,Choco_V_BTS,2020-03-20 01:32:53,"니가 알던 걔 맞아
#사장님_월급주세요",
105,nosleepbcbts,2020-03-20 01:32:53,#yoongi ~ “ nado daѕι neol naнjι anнeυl тenιĸĸa ” .𝚖𝚢𝚐 // 𝓕𝓲𝓻𝓼𝓽 𝓛𝓸𝓿𝓮 - HAPPY SUGA MONTH!💜,
106,innerchiIdtae,2020-03-20 01:32:53,🦀🌱 🐨 🌙,bts fan acc | eng/arabic
107,yoonxiety_,2020-03-20 01:32:53,,🐰+🐯=💜
108,Cecytemedobe,2020-03-20 01:32:53,"MEXICAN (Mexhica), Musica Alternativa, México, Nezahualcoyotl. ARMY",mexico
109,sanaolbts,2020-03-20 01:32:53,"BTS ARMY 

only for @BTS_twt
I'm on Instagram as @nrksmknds and @xhuiy01

FOLLOW FOR FOLLOW. 
FAN ACCOUNT!!!!!!!!",
