No.,user,created,location,description
0,ramzaheiral,2020-03-20 00:22:43,they/them ◦ he/him,"◦ ramza ◦ 22 ◦ pdx ◦ what an age we live in, huh snake? ◦ please check my link before following ◦ ♡ @raaidens ♡ ☆ @IseIia ☆ ☆ @popabop ☆"
1,je_camelia,2020-03-20 00:22:43,ot7 {fan account} ༄,"「 Encontram-se Jesus, doramas e surtos pelo bogum nesse perfil. 」Filipenses 1:21 ღ"
2,tanyatornn_,2020-03-20 00:22:43,Top! JH RM ,𝑻𝒆𝒂𝒎𝒘𝒐𝒓𝒌 𝒎𝒂𝒌𝒆𝒔 𝒕𝒉𝒆 𝒅𝒓𝒆𝒂𝒎 𝒘𝒐𝒓𝒌
3,magicshop_13,2020-03-20 00:22:43,•𝙊𝙏𝟳•  ▸𝙊𝙣𝙡𝙮 𝘼𝙧𝙢𝙮◂ ,"❝ Todo lo qυe ɴeceѕιтo eѕ α мί мιѕмo, lo ѕé. Todo lo qυe ɴeceѕιтαѕ eѕ α тι мιѕмo, lo ѕαвeѕ. ❞ 💜


ˢᵐ ▸@Thelast_93◂ 

[fan account]"
4,sweetguyv,2020-03-20 00:22:43,,"일곱일때 빛나는 방탄
방탄은 내 삶에 다시 뜬 햇빛
우리 함께하는 지금, 화양연화
우린 이미 서로의 의지야
최애는 방탄, 차애는 아미"
5,guccihooman,2020-03-20 00:22:43,+62『fangirl account』,'u look so sexy' i say to taehyung
6,FILTER_PJM1,2020-03-20 00:22:43,,"19, My bias/idol is Jimin , loves BTS and twice, ARMY! also a Once!"
7,itsjusteslife,2020-03-20 00:22:43,,"i have come to love myself for who i am, for who i was, and for who i hope to become.💜~Rm, Bts  
follow my insta: justbossxx"
8,Ale05035186,2020-03-20 00:22:43,enlabaticueva;),i purple you 💜
9,theternalknj,2020-03-20 00:22:42,🇨🇦 she/her,i live so i love. i’ll probably never shut up about badbye. fan account. 09.22.18 + 05.11.19 💜
10,Kinaho071,2020-03-20 00:22:42,,Hong Konger🙋🏻‍♀️ Food lover🍔🍱🎂😋BoGummy & BTS supporter💜💕
11,BtsNucha,2020-03-20 00:22:42,,💜 Bangtan boy 😍
12,Rosiane41760041,2020-03-20 00:22:42,"Ceará, Brasil",Eu apenas vivo o q Deus me proporciona...🙌🍀
13,ame_ts07,2020-03-20 00:22:42,,"LA MÚSICA ES MI MEDICINA ♥️🖤💜💙💚💛❤️VRJSJJJ
💜Kim taehyung💜
BTS el mejor"
14,BTS_HAYEON,2020-03-20 00:22:42,,언괄오류시DM/선괄=맞괄/소통 최대한 해드리는중
15,BtsBby93,2020-03-20 00:22:42,,
16,kthjust,2020-03-20 00:22:42,tetufas.♡,⠀⠀⠀⠀⠀⠀#박찬열 : 𝙥𝙡𝙮𝙢𝙤𝙪𝙩𝙝 𝟭𝟵𝟲𝟬.
17,jindescribably,2020-03-20 00:22:42,181017 • 190608  💌,"19. she/her. | “if i share my sadness with army, it will disappear& if i share my happiness with army, it will be big enough to cover the entire world.” 💗"
18,namjoon172,2020-03-20 00:22:42,,"FAN ACCOUNT OF @BTS_twt
BTS×ARMY
i'm a girl with luv
persona,moonchild,sunshine,namu and hobi"
19,soleicastroriv1,2020-03-20 00:22:42,,𝕄𝕒𝕡 𝕠𝕗 𝕥𝕙𝕖 𝕤𝕠𝕦𝕝 𝟟
20,ctdrss,2020-03-20 00:22:42,,Do not be trapped to someone else's dream • @BTS_twt #BTS #BTSARMY
21,fcbhsk,2020-03-20 00:22:42,taekook | yoonseok,i just want to be cool
22,Lucianarynlds,2020-03-20 00:22:42,,
23,omermeroz,2020-03-20 00:22:42,Israel,Working on a PhD in material engineering. OT7 all the way. World traveler. Loves food 💜💜 backup account @merozomer
24,IrisChu18,2020-03-20 00:22:42,,
25,LuzmilaLuzmi1,2020-03-20 00:22:41,🇦🇷,"➶ ⚘-ᴇˢᵗᵒʸ ᵛⁱᵛⁱᵉⁿᵈᵒ ᶜᵒⁿ ᵉˡ ᶠⁱⁿ ᵈᵉ ᵉⁿᵗᵉⁿᵈᵉʳ ᵉˡ ᵐᵘⁿᵈᵒ. ᵖᵉʳᵒ ¿ᵖᵒʳ ᵠᵘᵉ ᵉˡ ᵐᵘⁿᵈᵒ ⁿᵒ ʰᵃ ⁱⁿᵗᵉⁿᵗᵃᵈᵒ ᶜᵒᵐᵖʳᵉⁿᵈᵉʳᵐᵉ?⚘- #RM ᴀʟᴡᴀʏs 
#태국 taekook novios.🏳️‍🌈"
26,joonmylight12,2020-03-20 00:22:41,🏡mikrokosmos 💜fan accont,⠀⠀⠀⠀  ⠀𝗇𝖺𝗆𝗎 ⋆ 可愛的. ☁️🌱
27,nevermindpys,2020-03-20 00:22:41,,
28,chokoric,2020-03-20 00:22:41,,3n / 올팬 / 악개사절
29,BTS_tw_3,2020-03-20 00:22:41,,"Fan account Only Army 💜

Amo a BTS 💜 🇦🇷🇨🇱"
30,attackontee,2020-03-20 00:22:41,"Portsmouth, England",#EREN : stream attack on bangtan
31,twshgltf_bts,2020-03-20 00:22:41,na sua,this profile contains high doses of boiolice pelo jk ✩ https://t.co/9SCMt0t1mA
32,dohjiji,2020-03-20 00:22:41,beyond the scene,ot7♡
33,TUNA_ARMY_MAYO,2020-03-20 00:22:41,,ARMY。大学生。
34,gcfinbad,2020-03-20 00:22:41,jm.jk,"☆ 𝙖𝙡𝙬𝙖𝙮𝙨 𝙩𝙤𝙜𝙚𝙩𝙝𝙚𝙧, #방탄소년단 !! 💙

✧  #𝐁𝐀𝐍𝐆𝐓𝐀𝐍 :: my 𝐩𝐚𝐫𝐚𝐝𝐢𝐬𝐞. 🏡

#𝐁𝐓𝐒: 𝘵𝘦𝘢𝘮𝘸𝘰𝘳𝘬 𝘮𝘢𝘬𝘦𝘴 𝘵𝘩𝘦 𝘥𝘳𝘦𝘢𝘮 𝘸𝘰𝘳𝘬."
35,dazzlingfan1,2020-03-20 00:22:41,,just me
36,xiugaluvz,2020-03-20 00:22:41,"Belo Horizonte, Minas Gerais","༻ Pιrιѕorιl ттαrαwα, ι ɴorαereυl ттαrαwα ༺ ✨ • @BTS_twt • @NCTsmtown •"
37,meliHopeAngelss,2020-03-20 00:22:41,The Edo Alemania,"*BTS*  7 ángeles iluminan mi vida con su música y perfección. 
Situación sentimental: relación tóxica con la facultad . Estudiante de RRII ARG-🇦🇷"
38,luvchaesol,2020-03-20 00:22:41,she/her,#DONGHYUN: non-chaesols aren't safe here
39,haruhar66354698,2020-03-20 00:22:41,,グクテテペンの成人済みarmy 基本グテ🐯右固定ならなんでもkookv/minv/supv大好物 rps理解 公式ブロック済み
40,BTS_successful,2020-03-20 00:22:41,Bangtan Sonyeondan😎,"Hello esta cuenta es para apoyar a @BTS_twt💜

Está bien creer🎶
Te consolaré en la tienda mágica🎶
So show me🎶
I'll show me🎶


💜OT7 Only Army"
41,Aikoo5813,2020-03-20 00:22:41, 🐣allmin 🐰🐯🐨🐹🐴🐱,"PJM💜 +KM RPS  fanaccount
무능력 소비러. RTbot. 
                                       헤더  @ pjmvideo 님/프로필 @ jitoljitol 님"
42,SPradasuk,2020-03-20 00:22:41,,รัก got7 มากๆ
43,itsjusteslife,2020-03-20 00:22:41,,"i have come to love myself for who i am, for who i was, and for who i hope to become.💜~Rm, Bts  
follow my insta: justbossxx"
44,Moooomay1,2020-03-20 00:22:40,,
45,HY96717370,2020-03-20 00:22:40,,💎 팔로우 하지 마셈요 ㅜㅜ 혼자 노는 계정이에요. 제가 괜히 죄숑하자나여
46,boyfriendBTS7,2020-03-20 00:22:40,vkook el lugar para ti,"♡ BTS - 방탄소년단



















































~barbijo, gel antibacterial,alcohol y toda la cosa pero sin mis bitiez.☀️

La vida es injusta💫"
47,ho__odie,2020-03-20 00:22:40,대한민국,"cutie sexy lovely #Jimin ☺️🐥💛 
알티봇 / Fan account"
48,jungkookbrand,2020-03-20 00:22:40,,"BTS MAIN VOCALIST, LEAD DANCER, SUBRAPPER, CENTER, FACE OF THE GROUP"
